web-scraper-order,web-scraper-start-url,nama,caption,ulasan,ulasan_preprocessed,label,sentiment,score;;;;;;
"1680415691-68,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,DuniaNana,Desa yang super dingin dengan penduduk yang super ramah,""Saya rasa sudah banyak yang mengulas mengenai tempat ini. Saya dua kali berkunjung ke sini. kedua-duanya lebih dari tiga malam. Selain cuaca dinginnya yang luar biasa, dieng menawarkan hal lain. Penduduknya yang super ramah bikin kita betah disini. Selama disana saya tidak pernah merasa kalau saya tamu :))"",""mengula . kali berkunjung . kedua-duanya malam . cuaca dinginnya , dieng menawarkan . penduduknya super ramah bikin betah . disana tamu : ) )"",negative,""[{'label': 'negative', 'score': 0.8764597177505493}]"",0.8764597177505493";;;;;;
"1680415691-69,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,MisterP6,Desa Nan Indah dan Ramah,""Dataran Tinggi Dieng sering disebut juga Negri di Atas Awan atau Negri Para Dewa. Diesebut demikian karna letaknya yang cukup tinggi hingga mencapai 2090 MDPL kira-kira.";;;;;;
;;;;;;
"selain indah, warga yang tinggal disana juga sangat ramah dan tulus bila membantu kami para wisatawan. Bahkan saya seperti punya keluarga baru disana. sebulan saja tidak datang maka rasa rindu sudah menggebu-gebu."",""dataran dieng negri awan negri dewa . diesebut karna letaknya mencapai 2090 mdpl . indah , warga tinggal disana ramah tulu membantu wisatawan . keluarga disana . sebulan rindu menggebu-gebu ."",positive,""[{'label': 'positive', 'score': 0.6709773540496826}]"",0.6709773540496826";;;;;;
"1680415691-70,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,gerandis,""Dieng Culture Festival, saat tepat datang ke Dieng"",""Selain untuk menikmati pemandangan dan sejuknya udara pegunungan, datang ke Dieng saat acara Dieng Culture Festival berlangsung adalah waktu yang tepat. Di siang hari kit abisa mengunjungi beberapa lokasi wisata seperti Komplek Candi Dieng, Telaga Warna, dan Gunung Sikunir saat malam kita bisa menyaksikan pertunjukan wayang dan Jazz Atas Awan yang ditutup dengan menerbangkan ribuan lampion ke langit malam."",""menikmati pemandangan sejuknya udara pegunungan , dieng acara dieng cultur festiv . siang kit abisa mengunjungi lokasi wisata komplek candi dieng , telaga warna , gunung sikunir malam menyaksikan pertunjukan wayang jazz awan ditutup menerbangkan ribuan lampion langit malam ."",negative,""[{'label': 'negative', 'score': 0.7818285822868347}]"",0.7818285822868347";;;;;;
"1680415691-71,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,afriyaniika,Dataran tinggi Dieng,Objek wisata jawa tengah yang wajib dikunjungi.. selain budaya nya yang unik objek wisata yang terdapat didalamnya sangatlah menarik dengan menawarkan pemandangan alam yang awesome.,objek wisata jawa wajib dikunjungi .. budaya nya unik objek wisata didalamnya menarik menawarkan pemandangan alam awesom .,negative,""[{'label': 'negative', 'score': 0.5426372289657593}]"",0.5426372289657593";;;;;;
"1680415691-72,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,NurI398,Komplek Candi Hindu yang Eksotik,""Udara sejuk, tempat yang indah, membuat kami selalu ingin berlama-lama di sini. Bergulig-guling di rerumputan komplek candi, rasanya nyaman sekali. Saat moment liburan lokasi ini penuh pengunjung dan biasanya pengelola menambah hiburan utk pengunjung beupa badut-badut teletubbies & wayang orang arjuna jg buto cakil yg bisa kita ajak foto bersama, setelah berfoto kita bisa masukkan uang seikhlasnya ke dalam kardus yang sudah disediakan."",""udara sejuk , indah , berlama-lama . bergulig-gul rerumputan komplek candi , nyaman . moment liburan lokasi penuh pengunjung pengelola menambah hiburan utk pengunjung beupa badut-badut teletubbi & wayang orang arjuna jg buto cakil yg ajak foto , berfoto masukkan uang seikhlasnya kardu disediakan ."",negative,""[{'label': 'negative', 'score': 0.8736006021499634}]"",0.8736006021499634";;;;;;
"1680415691-73,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,AgustiEsden,Wisata ke situs peniggalan sejarah,""Dataran tinggi Dieng banyak menyimpan sejarah peradapan kuno dengan banyaknya bertebaran candi-candi peninggalan peradaban masa lampau. Dengan mendatangi dataran tinggi dieng kita dapat menikmati wisata alam yang menarik serta melihat candi-candi peninggalan peradaban masa lampau. Hamparan dataran tinggi Dieng sangat luas untuk berpiknik bersama keluarga, teman atau pasangan."",""dataran dieng menyimpan sejarah peradapan kuno banyaknya bertebaran candi-candi peninggalan peradaban lampau . dataran dieng menikmati wisata alam menarik candi-candi peninggalan peradaban lampau . hamparan dataran dieng lua berpiknik keluarga , teman pasangan ."",positive,""[{'label': 'positive', 'score': 0.9770176410675049}]"",0.9770176410675049";;;;;;
"1680415691-74,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Idri5,""Jangan Ngaku Traveler, Jika Dieng Saja Belum Kamu Sambangi dan Cumbui Dengan Mesra"",""Jika kamu masih bingung dengan apa saja yang harus kamu eksplore di dieng, berikut saya rekomendasikan wisata yang harus kamu cumbui.";;;;;;
1. Sebelum Menjadi Saksi Hidupnya, Jadilah Saksi Hidup Dua Talaga Nan Cantik Si Talaga Warna dan Pengilon;;;;;;
2.  Jika Stress Sedang Memuncak, Berteriak Saja di Batu Pandang Dieng Dengan Sekencang-kencangnya.;;;;;;
3. Mau Menambah Wawasan Tentang Dunia Percandian, Candi Mahabarata Dieng Wajib Kamu Telusuri;;;;;;
4.  Kamu Gak Jago Mendaki Tetapi Ingin Menikmati Sunrise, Bukit Sikunir Tempat Terbaiknya;;;;;;
"5. Ada Pula Gardu Pandang Tieng yang membuatmu Seolah Bisa Menyentuh Awan"",""bingung eksplor dieng , rekomendasikan wisata cumbui . 1. saksi hidupnya , saksi hidup talaga nan cantik si talaga warna pengilon 2. stress memuncak , berteriak batu pandang dieng sekencang-kencangnya . 3. menambah wawasan dunia percandian , candi mahabarata dieng wajib telusuri 4. gak jago mendaki menikmati sunris , bukit sikunir terbaiknya 5. gardu pandang tieng membuatmu menyentuh awan"",positive,""[{'label': 'positive', 'score': 0.9755668044090271}]"",0.9755668044090271";;;;;;
"1680415691-75,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,jungs136,Amazing!,""Tempat wajib untuk dikunjungi! Oh ya, sahakan untuk kembali pulang sebelum matahari terbenam karena biasanya jalan akan tertutup kabut."",""wajib dikunjungi ! oh ya , sahakan pulang matahari terbenam jalan tertutup kabut ."",negative,""[{'label': 'negative', 'score': 0.9672573208808899}]"",0.9672573208808899";;;;;;
"1680415691-76,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,yogya-driver-anton,Amazing dieng plateau area..,""Perjalanan naik turun bukit dan berliku serta melewati berbagai kampung dijawa selama kurang lebih3 jam dari kota jogja akan terbayar puas dengan indahnya dataran tinggi dieng.. telaga warna,Kawah sikidang,brrbagai candi hindu dan pemandian air panas terdapat dilokasi ini yang jarak antara satu dengan uang lain tidak terlalu jauh....datanglah ketempat ini sebelum jam 10 pagi karna apabila terlalu sore maka kabut pekat akan mwnyelimuti sepanjang perjalanan dari kota wonosobo kearah dieng..jangan lupa menikmati makanan khas mie ongklik yg akan nikmat dusajikan waktu panas dan oleh2 Carica buah khas Wonosobo.."",""perjalanan turun bukit berliku melewati kampung dijawa lebih3 jam kota jogja terbayar pua indahnya dataran dieng .. telaga warna , kawah sikidang , brrbagai candi hindu pemandian air pana dilokasi jarak uang .... datanglah ketempat jam 10 pagi karna sore kabut pekat mwnyelimuti perjalanan kota wonosobo kearah dieng .. lupa menikmati makanan kha mie ongklik yg nikmat dusajikan pana oleh2 carica buah kha wonosobo .."",negative,""[{'label': 'negative', 'score': 0.950946569442749}]"",0.950946569442749";;;;;;
"1680415691-77,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Tio_12,Keindahan Alam,""Dieng salah satu wisata yang tak pernah ada jenuhnya untuk dikunjungi, keindahan dan kedamaian alamnya  yang masih sangat mempesona. Kenapa harus ke eropa jika di dieng saja tak kalah indahnya."",""dieng salah wisata jenuhnya dikunjungi , keindahan kedamaian alamnya mempesona . eropa dieng kalah indahnya ."",negative,""[{'label': 'negative', 'score': 0.8518732786178589}]"",0.8518732786178589";;;;;;
"1680415691-78,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,suryaty,Negri atas awan,""Sebuah desa yang berada di ketinggian 2000 mdpl membuat cuaca selalu dingin terutam pagi dan malam hari, siap siap dech dengan jaket tebal. Bicarapun akan keluar asap dari mulut. penduduk yang ramah, banyak homestay dimana mana, dan desa yang tidak terlalu besar, membuat kita betah berlama lama ditempat ini. tempat wisata nya banyak dan mudah dicapai kecuali Gunung Prau anda harus mendaki..datanglah saat event Dieng Culture Festival yang cuma diadakan setahun sekali. bebrburu tiketnya 3 bulan sebelumnya. dan nikmati Dieng negri atas awan"",""desa ketinggian 2000 mdpl cuaca dingin terutam pagi malam , dech jaket tebal . bicarapun asap mulut . penduduk ramah , homestay dimana , desa , betah berlama ditempat . wisata nya mudah dicapai kecuali gunung prau mendaki .. datanglah event dieng cultur festiv diadakan setahun . bebrburu tiketnya 3 . nikmati dieng negri awan"",negative,""[{'label': 'negative', 'score': 0.7108810544013977}]"",0.7108810544013977";;;;;;
"1680415691-79,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Sugeng_Tahu,Walaupun sendiri tetap asik,Biar dingin nggak bakalan nyesal. Utuk yang berkunjung harus siap kedinginan. Jangan sampai salah kostum ya klw main ke Gunung.,biar dingin nggak nyesal . utuk berkunjung kedinginan . salah kostum ya klw main gunung .,negative,""[{'label': 'negative', 'score': 0.9523127675056458}]"",0.9523127675056458";;;;;;
"1680415691-80,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Novi A,Ok banget,""Saya dan suami sangat puas dengan paket Tour dieng dari Nusantara Trip. Penjemputannya tepat waktu, driver ramah dan komunikatif dengan customer. Service nya ok bingits,banyak kasih tau rekomendasi tempat makan yg enak2. Terus bisa merangkap jadi Photografer yg bikin liburan makin kece. Recommended banget deh pokoknya."",""suami pua paket tour dieng nusantara trip . penjemputannya , driver ramah komunikatif custom . servic nya ok bingit , kasih tau rekomendasi makan yg enak2 . merangkap photograf yg bikin liburan kece . recommend banget deh pokoknya ."",positive,""[{'label': 'positive', 'score': 0.6797086596488953}]"",0.6797086596488953";;;;;;
"1680415691-81,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Nurul H,Refreshing,""Bisa berlibur kesini sangat menyenangkan, suasana damai dan sejuknya bikin hati ademm banget..like moment"",""berlibur kesini menyenangkan , suasana damai sejuknya bikin hati ademm banget .. like moment"",negative,""[{'label': 'negative', 'score': 0.8919942378997803}]"",0.8919942378997803";;;;;;
"1680415691-82,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,77yunital,Wisata sejarah sambil tracking,""Wisata di dataran tinggi Dieng ini terkenal dengan agro wisatanya, tempat ini merupakan penghasil kentang, juga carica. Namun harus hati2 jika berkendara ke daerah Dieng ini selain jalannya yang menanjak curam berliku juga banyak daerah yang longsor karena tanah yang gembur karena ditanami kentang."",""wisata dataran dieng terken agro wisatanya , penghasil kentang , carica . hati2 berkendara daerah dieng jalannya menanjak curam berliku daerah longsor tanah gembur ditanami kentang ."",negative,""[{'label': 'negative', 'score': 0.9731593132019043}]"",0.9731593132019043";;;;;;
"1680415691-83,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,relindapuspita,Hijau di Mana-Mana,Saya sangat menikmati udara sejuk yang bersih dan pemandangan hijau yang mengampar di kawasan Dieng. Banyak penginapan dan tempat makan murah di sini.,menikmati udara sejuk bersih pemandangan hijau mengampar kawasan dieng . penginapan makan murah .,negative,""[{'label': 'negative', 'score': 0.9653059244155884}]"",0.9653059244155884";;;;;;
"1680415691-84,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,loe2gw,DIENG ... I LOVE YOU,""Mempesona, Indah, dan I love you dieng... tempat yg dingin.. udara yang sejuk dan bersih... Liburan kali ini kami sekeluarga besar wisata ke dieng... walaupun hanya 2 tempat yang kami kunjungi yaitu sikunir dan candi arjuna tapi kami sangan puas dan senang.... Mungkin kalau kami tidak bawa anak kecil kami ingin menikmati sunrisenya yang indah di sikunir,,, dan walaupun saat itu kabut di seliling puncak sikunir yg menutupi negri di atas awan tidak bisa kami liat tidak membuat kami kecewa... dari sikunir kami langsung ke candi arjuna.. candinya tidak banyak tidak seperti di prambanan.. tetapi pemandangan di sekelilingnya WOW....";;;;;;
;;;;;;
Sepertinya tahun depan kami ingin ke sini lagi ingin ke telaga warna dan kawahnya....;;;;;;
;;;;;;
"Oh iya untuk membawa orang tua dan anak kecil kami sarankan untuk membawa baju hangat yg tebal kerena udaranya sangat dingin....."",""mempesona , indah , i love you dieng ... yg dingin .. udara sejuk bersih ... liburan kali sekeluarga wisata dieng ... 2 kunjungi sikunir candi arjuna sangan pua senang .... bawa anak menikmati sunrisenya indah sikunir , , , kabut selil puncak sikunir yg menutupi negri awan liat kecewa ... sikunir langsung candi arjuna .. candinya prambanan .. pemandangan sekelilingnya wow .... telaga warna kawahnya .... oh iya membawa orang tua anak sarankan membawa baju hangat yg tebal kerena udaranya dingin ....."",positive,""[{'label': 'positive', 'score': 0.9872792959213257}]"",0.9872792959213257";;;;;;
"1680415691-85,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,2803danyw,Candi arjuna yg mempesona..,""Candi ini tidak begitu luas, lokasinya dekat dg banyak penginapan (homestay)..dekat dg banyak tempat makan juga..menurut sy candi ini termasuk unik.. karna banyak bgt bunga kecubung yg tumbuh di lokasi candi ini.. jadi kalo kita kesana malam hari harum bunga kecubung yg khas membuat suasana candi menjadi sedikit mistis menurut saya..candi ini mirip candi prambanan versi mini nya..bila memutari seluruh kawasan candi arjuna tidak memakan waktu begitu lama.& disini memiliki tempat parkir yg luas & memadai..bis pariwisata,mobil/motor bisa menjangkau tempat ini..gak lengkap rasanya ke dieng tanpa mampir ke candi ini"",""candi lua , lokasinya dg penginapan ( homestay ) .. dg makan .. sy candi unik .. karna bgt bunga kecubung yg tumbuh lokasi candi .. kalo kesana malam harum bunga kecubung yg kha suasana candi misti .. candi candi prambanan versi mini nya .. memutari kawasan candi arjuna memakan lama. & memiliki parkir yg lua & memadai .. bi pariwisata , mobil/motor menjangkau .. gak lengkap dieng mampir candi"",negative,""[{'label': 'negative', 'score': 0.843285858631134}]"",0.843285858631134";;;;;;
"1680415691-86,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,irnasoemardi,Mengejar sunrise,""Kami tinggal di homestay, makan mie ongklok, carica..";;;;;;
Udara malam sangat dingin sekali..;;;;;;
Warga sekitar sangat ramah..;;;;;;
Sebelum fajar kami sudah naik ke atas untuk melihat sunrise..;;;;;;
"Menanjak lumayan cape, tapi hal itu terbayar dengan indahnya pagi yang cerah.."",""tinggal homestay , makan mie ongklok , carica .. udara malam dingin .. warga ramah .. fajar sunris .. menanjak lumayan cape , terbayar indahnya pagi cerah .."",negative,""[{'label': 'negative', 'score': 0.9413650035858154}]"",0.9413650035858154";;;;;;
"1680415691-87,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,r3ni,Negeri Di Awan,""Brrrr....udara dingin langsung terasa ketika menginjakkan kaki di dataran tinggi Dieng yang cantik ini. Dimulai dari wisata sejarah mengelilingi komplek candi,perjalanan dilanjutkan ke Telaga Warna dan ke kawah Sikidang. Sangat recommended untuk menikmati pemandangan alam yang cantik dan udara segar."",""brrrr .... udara dingin langsung menginjakkan kaki dataran dieng cantik . wisata sejarah mengelilingi komplek candi , perjalanan dilanjutkan telaga warna kawah sikidang . recommend menikmati pemandangan alam cantik udara segar ."",positive,""[{'label': 'positive', 'score': 0.8971894383430481}]"",0.8971894383430481";;;;;;
"1680415691-88,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,NurulAnnisaM,Dieng,Negeri di atas awan. Udaranya dingin sekali tapi pemandangannya worth it banget. Recommended banget sih. Semoga bisa ke sini lagi karena tempatnya ngangenin,negeri awan . udaranya dingin pemandangannya worth it banget . recommend banget sih . semoga tempatnya ngangenin,negative,""[{'label': 'negative', 'score': 0.6452991962432861}]"",0.6452991962432861";;;;;;
"1680415691-89,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,MariaA16140,Udara yg sejuk,""Terbiasa dengan polusi udara di ibukota, sekali2 bisa mencoba ke dataran tinggi dieng..";;;;;;
Udaranya sangat sejuk dan dingiinn.. Cocok sekali bagi anda yg ingin berlibur di daerah pedesaan dengan udara segar.. ;;;;;;
Banyak destinasi wisata yg bisa anda kunjugi disini, seperti dieng plateu theater, kawah sikidang, telaga warna, batu ratapan angin, puncak sikunir..;;;;;;
Sunrise di puncak sikunir the best, golden sunrise yg dsajikan cukup memanjakan mata anda akan ciptaan Tuhan.. ;;;;;;
Banyak penginapan di dieng jadi anda tag perlu khawatir.. ;;;;;;
"Hanya untuk tips saja, sebaiknya anda membawa baju hangat disini karena suhu udara yg extream super dingin.."",""terbiasa polusi udara ibukota , sekali2 mencoba dataran dieng .. udaranya sejuk dingiinn .. cocok yg berlibur daerah pedesaan udara segar .. destinasi wisata yg kunjugi , dieng plateu theater , kawah sikidang , telaga warna , batu ratapan angin , puncak sikunir .. sunris puncak sikunir the best , golden sunris yg dsajikan memanjakan mata ciptaan tuhan .. penginapan dieng tag khawatir .. tip , membawa baju hangat suhu udara yg extream super dingin .."",positive,""[{'label': 'positive', 'score': 0.7858301401138306}]"",0.7858301401138306";;;;;;
"1680415691-90,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Aziz B,Sejuknya dan indahnya Dataran Tinggi Dieng,""Salah satu destinasi wisata yang wajib dikunjungi. Disamping alamnya yang indah dan menyejukkan, di lokasi ini banyak peninggalan Sejarah Nusantara seperti Kawasan Candi Arjuna, Candi Bima dan Candi Gatotkaca."",""salah destinasi wisata wajib dikunjungi . disamp alamnya indah menyejukkan , lokasi peninggalan sejarah nusantara kawasan candi arjuna , candi bima candi gatotkaca ."",negative,""[{'label': 'negative', 'score': 0.9169427752494812}]"",0.9169427752494812";;;;;;
"1680415691-91,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Ormit,Jejak Nenek Moyang dikaki gunung,""sebaiknya kamu kesini. tempat yang dingin ini, memiliki banyak pilihan transportasi, karena ini merupakan lokasi wisata favorit dan terkenal.";;;;;;
;;;;;;
"Kabut tipis menyelimuti kawasan Candi dan dingin yang tak terlalu menggigit. Setelah melihat candi, rasakan kehangatan minuman ramuan ajaib PURWACENG."",""kesini . dingin , memiliki pilihan transportasi , lokasi wisata favorit terken . kabut tipi menyelimuti kawasan candi dingin menggigit . candi , rasakan kehangatan minuman ramuan ajaib purwaceng ."",negative,""[{'label': 'negative', 'score': 0.9546303749084473}]"",0.9546303749084473";;;;;;
"1680415691-92,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,tatoillah2015,Dataran tinggi dengan pemandangan yang takjub,""Berada di wilayah Wonosobo dengan dataran tinggi yang menyuguhkan pemandangan yang menakjubkan, bangunan candi yang jumlahnya cukup banyak, hamparan padang rumput dan danau telaga warna yang memukau"",""wilayah wonosobo dataran menyuguhkan pemandangan menakjubkan , bangunan candi , hamparan padang rumput danau telaga warna memukau"",negative,""[{'label': 'negative', 'score': 0.9309515357017517}]"",0.9309515357017517";;;;;;
"1680415691-93,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,away_mak,Dinginnya Ekstrim 6 Derajat Celcius,""Sangat kontradiktif sekali dengan Suhu di Pulau Jawa yang umumnya Tropis, namun Dataran Tinggi Dieng ini mempunyai Suhu 6 Derajat Celcius. Bahkan bila di musim kemarau, di pagi hari terlihat kristal-kristal es di atas dedaunan. Hal ini karena Dataran Tinggi Dieng merupakan Pegunungan Vulkanik yang masih aktif di Jawa Tengah"",""kontradiktif suhu pulau jawa tropi , dataran dieng suhu 6 derajat celciu . musim kemarau , pagi kristal-krist es dedaunan . dataran dieng pegunungan vulkanik aktif jawa"",negative,""[{'label': 'negative', 'score': 0.9570527076721191}]"",0.9570527076721191";;;;;;
"1680415691-94,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,dewikartini,Pemandangan yang Menakjubkan,""Perjalanan dari kota Magelang ke kawasan wisata Dieng ditempuh sekitar 2,5-3 jam, Magelang - Temanggung - Wonosobo. Jalanannya agak sempit, beberapa ruas rusak dan banyak tanjakan curam. Sebisa mungkin hindari jalur alternatif karena semakin memutar jauh.";;;;;;
;;;;;;
Di gerbang selamat datang dikenakan tarif parkir kendaraan, jika dari papannya, untuk mobil Rp. 10.000, tetapi kami harus membayar Rp. 50.000, petugas beralasan bahwa biayanya per orang dan kemudian ada diskon, karena kami ber 8, harusnya Rp.80.000 jadi Rp. 50.000. Karena tidak ingin berdebat dan berpikir kemungkinan hari raya Idul Fitri, harganya mungkin beda (tapi berasa kayak pungli).;;;;;;
;;;;;;
Di musim panas seperti bulan Juli ini, udaranya cukup sejuk, tetapi perlu juga memakai topi/payung karena terpaan sinar matahari yang agak menyengat.;;;;;;
;;;;;;
"Kawasan ini memiliki pemandangan yang sangat menakjubkan. Perlu menyediakan waktu saat berada di wilayah Borobudur/ Magelang atau Jogja. Jangan lupa membeli produk olahan buah Ciraca, khas Dieng atau terong Belandanya."",""perjalanan kota magelang kawasan wisata dieng ditempuh 2,5-3 jam , magelang - temanggung - wonosobo . jalanannya sempit , rua rusak tanjakan curam . sebisa hindari jalur alternatif memutar . gerbang selamat dikenakan tarif parkir kendaraan , papannya , mobil rp . 10.000 , membayar rp . 50.000 , petuga beralasan biayanya orang diskon , ber 8 , rp.80.000 rp . 50.000. berdebat berpikir raya idul fitri , harganya beda ( berasa kayak pungli ) . musim pana juli , udaranya sejuk , memakai topi/payung terpaan sinar matahari menyengat . kawasan memiliki pemandangan menakjubkan . menyediakan wilayah borobudur/ magelang jogja . lupa memb produk olahan buah ciraca , kha dieng terong belandanya ."",negative,""[{'label': 'negative', 'score': 0.9808229804039001}]"",0.9808229804039001";;;;;;
"1680415691-95,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Yusea K,Kunjungan kedua,Walau hujan tetap mempesonakan Candi Arjuna di Dieng Plateu. Perjalanan yang lumayan memacu detak jantung karena selama perjalan disambut oleh hujan. Pemandangan yg menakjubkan.,hujan mempesonakan candi arjuna dieng plateu . perjalanan lumayan memacu detak jantung perjalan disambut hujan . pemandangan yg menakjubkan .,negative,""[{'label': 'negative', 'score': 0.9136272072792053}]"",0.9136272072792053";;;;;;
"1680415691-96,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Gembel_Traveller,Kompleks candi Dieng,""Dataran tinggi dieng ini udaranya cukup dingin dan menyejukan. Selain itu yang paling menarik adalah kompleks candi candi yang berada di dieng yang banyak dan unik, berbeda dengan candi pada umumnya. Selain itu ada juga kawah kawah yang mengandung asap belerang yang indah, namun berhati hatilah pada saat menikmati kawah kawah ini."",""dataran dieng udaranya dingin menyejukan . menarik komplek candi candi dieng unik , berbeda candi . kawah kawah mengandung asap belerang indah , berhati hatilah menikmati kawah kawah ."",positive,""[{'label': 'positive', 'score': 0.9710421562194824}]"",0.9710421562194824";;;;;;
"1680415691-97,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,laurential2016,Daerah unik bak negeri diatas awan,""Kota yang unik, Pabila Hujan Tiba cuaca malam hari agak gerah, pabila siang panas, malam hari luar biasa dingin seperti masuk lemari es.";;;;;;
"Banyak tempat wisatanya, Telaga warna, Batu ratapan angin, Sumur Jolotundo , Candi Arjuno dkk, Dieng Theatre, kawah sikidangdan masih banyak lagi"",""kota unik , pabila hujan cuaca malam gerah , pabila siang pana , malam dingin masuk lemari es . wisatanya , telaga warna , batu ratapan angin , sumur jolotundo , candi arjuno dkk , dieng theatr , kawah sikidangdan"",negative,""[{'label': 'negative', 'score': 0.9644811153411865}]"",0.9644811153411865";;;;;;
"1680415691-98,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Sutiono,Dataran tinggi dengan candi-candi Hindu,""Di sini dapat menyaksikan candi-candi Hindu dengan letak yang tidak terlalu berjauhan satu sama lain. Selain itu juga terdapat sumber belerang, dimana harus berhati-hati terhadap asapnya yang mematikan."",""menyaksikan candi-candi hindu letak berjauhan . sumber belerang , dimana berhati-hati asapnya mematikan ."",negative,""[{'label': 'negative', 'score': 0.9621284008026123}]"",0.9621284008026123";;;;;;
"1680415691-99,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Kocepgacul,Karunia Indah sang pencipta,""Berawal dari hanya mendengar cerita dan browsing2 di internet tentang keindahan dieng, akhirnya ada kesempatan juga ngerasain sendiri udara sejuk dan indahnya panorama alam dataran tinggi dieng. Tapi sayang datangnya ga bisa pas dengan acara festival dan upacara tradisi gunting rambut suku anak gimbal pasti lebih seru."",""mendengar cerita browsing2 internet keindahan dieng , kesempatan ngerasain udara sejuk indahnya panorama alam dataran dieng . sayang datangnya ga pa acara festiv upacara tradisi gunt rambut suku anak gimbal seru ."",negative,""[{'label': 'negative', 'score': 0.9332781434059143}]"",0.9332781434059143";;;;;;
